proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
METPO:1007155	evidence misattributed to claim	An evidence-support level indicating that the cited reference is misattributed - the paper does not address the curated claim at all (e.g., wrong DOI/PMID, paper about a different system). Distinct from 'evidence refutes claim', which is reserved for references that actively contradict the claim.	CommunityMech:communitymech.yaml#EvidenceItemSupportEnum.WRONG_STATEMENT	METPO:1007150	wrong-paper citation|misattributed reference		metpo_communitymech_2026_05	HIGH		EvidenceItemSupportEnum.WRONG_STATEMENT
METPO:1007160	evidence item source	The provenance category of a piece of evidence, distinguishing in vitro experiments, in vivo studies, computational predictions, review articles, and other sources.	CommunityMech:communitymech.yaml#EvidenceSourceEnum	METPO:1007102	evidence provenance|evidence source type		metpo_communitymech_2026_05	HIGH		enum-parent for EvidenceSourceEnum
METPO:1007161	in vitro evidence source	An evidence-source value indicating an in vitro experiment (batch culture, bioreactor, defined coculture, etc.).	CommunityMech:communitymech.yaml#EvidenceSourceEnum.IN_VITRO	METPO:1007160	in-vitro experiment evidence|batch culture evidence		metpo_communitymech_2026_05	HIGH		EvidenceSourceEnum.IN_VITRO
METPO:1007162	in vivo evidence source	An evidence-source value indicating an in vivo experiment (field study, host-associated study, environmental sampling).	CommunityMech:communitymech.yaml#EvidenceSourceEnum.IN_VIVO	METPO:1007160	field study evidence|in-vivo evidence		metpo_communitymech_2026_05	HIGH		EvidenceSourceEnum.IN_VIVO
METPO:1007163	computational evidence source	An evidence-source value indicating in silico modeling, simulation, or prediction (e.g., flux balance analysis, genome-scale model, machine-learning prediction).	CommunityMech:communitymech.yaml#EvidenceSourceEnum.COMPUTATIONAL	METPO:1007160	in-silico evidence|modeling evidence		metpo_communitymech_2026_05	HIGH		EvidenceSourceEnum.COMPUTATIONAL
METPO:1007164	review evidence source	An evidence-source value indicating a review article or meta-analysis rather than primary experimental work.	CommunityMech:communitymech.yaml#EvidenceSourceEnum.REVIEW	METPO:1007160	review article evidence|meta-analysis evidence		metpo_communitymech_2026_05	HIGH		EvidenceSourceEnum.REVIEW
METPO:1007165	other evidence source	An evidence-source value indicating a provenance type that does not fit the in vitro, in vivo, computational, or review categories.	CommunityMech:communitymech.yaml#EvidenceSourceEnum.OTHER	METPO:1007160	other evidence type		metpo_communitymech_2026_05	MEDIUM		EvidenceSourceEnum.OTHER
METPO:1007170	taxon abundance level	A relative-abundance category describing how much of a microbial community is occupied by a given taxon, binned by percentage thresholds.	CommunityMech:communitymech.yaml#AbundanceEnum	METPO:1007100	relative abundance category		metpo_communitymech_2026_05	HIGH		enum-parent for AbundanceEnum
METPO:1007171	dominant abundance level	A taxon-abundance level indicating greater than 1% relative abundance in the community.	CommunityMech:communitymech.yaml#AbundanceEnum.DOMINANT	METPO:1007170	dominant taxon|>1% abundance		metpo_communitymech_2026_05	HIGH		AbundanceEnum.DOMINANT
METPO:1007172	abundant abundance level	A taxon-abundance level indicating 0.1-1% relative abundance in the community.	CommunityMech:communitymech.yaml#AbundanceEnum.ABUNDANT	METPO:1007170	abundant taxon|0.1-1% abundance		metpo_communitymech_2026_05	HIGH		AbundanceEnum.ABUNDANT
METPO:1007173	common abundance level	A taxon-abundance level indicating 0.01-0.1% relative abundance in the community.	CommunityMech:communitymech.yaml#AbundanceEnum.COMMON	METPO:1007170	common taxon|0.01-0.1% abundance		metpo_communitymech_2026_05	HIGH		AbundanceEnum.COMMON
METPO:1007174	rare abundance level	A taxon-abundance level indicating less than 0.01% relative abundance in the community.	CommunityMech:communitymech.yaml#AbundanceEnum.RARE	METPO:1007170	rare taxon|rare biosphere member|<0.01% abundance		metpo_communitymech_2026_05	HIGH		AbundanceEnum.RARE
METPO:1007180	community ecological state	A description of the ecological or health state of a microbial community, distinguishing stable equilibrium, recent perturbation, engineered assembly, and transient succession.	CommunityMech:communitymech.yaml#EcologicalStateEnum	METPO:1007100	community ecological-state category		metpo_communitymech_2026_05	HIGH		enum-parent for EcologicalStateEnum
METPO:1007181	stable community state	An ecological state indicating a stable, equilibrium community in which composition and function do not change appreciably over the observation period.	CommunityMech:communitymech.yaml#EcologicalStateEnum.STABLE	METPO:1007180	equilibrium community		metpo_communitymech_2026_05	HIGH		EcologicalStateEnum.STABLE
METPO:1007182	perturbed community state	An ecological state indicating a recently perturbed community (e.g., after antibiotic treatment, nutrient shift, environmental disturbance) whose composition and function are diverging from a previous equilibrium.	CommunityMech:communitymech.yaml#EcologicalStateEnum.PERTURBED	METPO:1007180	perturbed community		metpo_communitymech_2026_05	HIGH		EcologicalStateEnum.PERTURBED
METPO:1007183	engineered community state	An ecological state indicating a synthetic or engineered community assembled by the researcher (defined membership, controlled conditions).	CommunityMech:communitymech.yaml#EcologicalStateEnum.ENGINEERED	METPO:1007180	engineered community|defined community		metpo_communitymech_2026_05	HIGH		EcologicalStateEnum.ENGINEERED
METPO:1007184	transient community state	An ecological state indicating a transient or developing community (e.g., during colonization, succession, or active enrichment).	CommunityMech:communitymech.yaml#EcologicalStateEnum.TRANSIENT	METPO:1007180	developing community|successional community		metpo_communitymech_2026_05	HIGH		EcologicalStateEnum.TRANSIENT
METPO:1007190	community origin type	The origin or assembly mode of a microbial community, distinguishing natural environmental communities from engineered or fully synthetic laboratory communities.	CommunityMech:communitymech.yaml#CommunityOriginEnum	METPO:1007100	community origin category		metpo_communitymech_2026_05	HIGH		enum-parent for CommunityOriginEnum
METPO:1007191	natural community origin	A community-origin value indicating a naturally occurring community sampled from its environment without bottom-up assembly by the researcher.	CommunityMech:communitymech.yaml#CommunityOriginEnum.NATURAL	METPO:1007190	naturally occurring community		metpo_communitymech_2026_05	HIGH		CommunityOriginEnum.NATURAL
METPO:1007192	engineered community origin	A community-origin value indicating a deliberately engineered community (e.g., an enrichment culture, a defined coculture, a synthetic consortium designed for a specific function).	CommunityMech:communitymech.yaml#CommunityOriginEnum.ENGINEERED	METPO:1007190	engineered consortium		metpo_communitymech_2026_05	HIGH		CommunityOriginEnum.ENGINEERED
METPO:1007193	synthetic community origin	A community-origin value indicating a fully synthetic community designed and assembled in laboratory from defined, axenic strains.	CommunityMech:communitymech.yaml#CommunityOriginEnum.SYNTHETIC	METPO:1007190	SynCom origin|defined synthetic community		metpo_communitymech_2026_05	HIGH		CommunityOriginEnum.SYNTHETIC
METPO:1007200	community functional category	A broad functional or ecological category for grouping microbial communities by the dominant process they mediate, the habitat they inhabit, or the biotechnology application they support.	CommunityMech:communitymech.yaml#CommunityCategoryEnum	METPO:1007100	community category|community functional grouping		metpo_communitymech_2026_05	HIGH		enum-parent for CommunityCategoryEnum
METPO:1007201	metal and waste processing community category	A community-category grouping for communities that mediate metal cycling, ore bioleaching, or acid mine drainage chemistry.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007200	metal-cycling community		metpo_communitymech_2026_05	HIGH		intermediate parent for metal/waste processing community categories
METPO:1007202	host-associated community category	A community-category grouping for communities that live in obligate or facultative association with a plant, animal, or other host organism.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007200	host-associated community		metpo_communitymech_2026_05	HIGH		intermediate parent for host-associated community categories
METPO:1007203	engineered metabolic community category	A community-category grouping for communities engineered or enriched around a specific metabolic process such as lignocellulose breakdown, methanogenesis, or direct interspecies electron transfer.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007200	metabolic-process community		metpo_communitymech_2026_05	HIGH		intermediate parent for engineered metabolic community categories
METPO:1007204	remediation and synthesis community category	A community-category grouping for communities applied to bioremediation of pollutants, carbon sequestration, or industrial bioproduct synthesis.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007200	applied biotechnology community		metpo_communitymech_2026_05	HIGH		intermediate parent for remediation/synthesis community categories
METPO:1007205	environmental-setting community category	A community-category grouping for communities defined by their natural environmental setting rather than by a specific metabolic process or application.	CommunityMech:proposals/metpo_communitymech_v1/proposal.md#hierarchy-decisions	METPO:1007200	environment-defined community		metpo_communitymech_2026_05	HIGH		intermediate parent for environmental-setting community categories
METPO:1007206	biomining community	A microbial community category for metal extraction and bioleaching systems in which microbial oxidation of sulfide minerals solubilizes target metals.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.BIOMINING	METPO:1007201	bioleaching community|biohydrometallurgy community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.BIOMINING
METPO:1007207	acid mine drainage community	A microbial community category for acid mine drainage communities, typically dominated by iron-oxidizing chemolithoautotrophs in highly acidic mineral-rich water.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.AMD	METPO:1007201	AMD community|acidophile community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.AMD
METPO:1007208	metal-reducing community	A microbial community category for metal-reducing communities, typically dissimilatory Fe(III) or Mn(IV) reducers and their downstream metabolic partners.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.METAL_REDUCTION	METPO:1007201	dissimilatory metal reduction community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.METAL_REDUCTION
METPO:1007209	phytoplankton-associated community	A microbial community category for algae-bacteria associations, including diatom-bacterium cocultures and phytoplankton-microbiome systems.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.PHYTOPLANKTON	METPO:1007202	algae-bacteria community|phycosphere community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.PHYTOPLANKTON
METPO:1007210	rhizosphere community	A microbial community category for plant root-associated communities, including bulk rhizosphere, rhizoplane, and endosphere microbiomes.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.RHIZOSPHERE	METPO:1007202	plant root microbiome		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.RHIZOSPHERE
METPO:1007211	oral community	A microbial community category for oral microbiome and dental biofilm communities, including supragingival and subgingival biofilms.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.ORAL	METPO:1007202	dental biofilm community|oral microbiome		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.ORAL
METPO:1007212	lignocellulose-degrading community	A microbial community category for lignocellulose degradation systems, typically including primary cellulolytic, hemicellulolytic, and ligninolytic specialists and downstream fermentation partners.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.LIGNOCELLULOSE	METPO:1007203	cellulose-degrading community|plant biomass community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.LIGNOCELLULOSE
METPO:1007213	methanogenic community	A microbial community category for methane-producing communities, typically including methanogenic archaea and their syntrophic fermenter or homoacetogenic partners.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.METHANOGENESIS	METPO:1007203	methanogenesis community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.METHANOGENESIS
METPO:1007214	direct interspecies electron transfer community	A microbial community category for communities mediating direct interspecies electron transfer (DIET) between electroactive partners, often via conductive pili or extracellular minerals.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.DIET	METPO:1007203	DIET community|electrogenic community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.DIET
METPO:1007215	bioremediation community	A microbial community category for communities engineered or selected for pollutant degradation and environmental remediation (chlorinated solvents, hydrocarbons, heavy metals, plastics, etc.).	CommunityMech:communitymech.yaml#CommunityCategoryEnum.BIOREMEDIATION	METPO:1007204	pollutant-degrading community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.BIOREMEDIATION
METPO:1007216	carbon sequestration community	A microbial community category for communities applied to carbon fixation and storage, including photosynthetic, chemolithoautotrophic, and engineered C1-fixing systems.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.CARBON_SEQUESTRATION	METPO:1007204	carbon capture community|carbon fixation community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.CARBON_SEQUESTRATION
METPO:1007217	biotechnology community	A microbial community category for communities applied to industrial biotechnology, including bioproduction of chemicals, biofuels, and bioactive compounds.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.BIOTECHNOLOGY	METPO:1007204	industrial biotechnology community|bioproduction community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.BIOTECHNOLOGY
METPO:1007218	extreme environment community	A microbial community category for communities from extreme conditions (acidophilic, alkaliphilic, thermophilic, halophilic, hyperbaric, irradiated, etc.).	CommunityMech:communitymech.yaml#CommunityCategoryEnum.EXTREME_ENVIRONMENT	METPO:1007205	extremophile community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.EXTREME_ENVIRONMENT
METPO:1007219	syntrophy-defined community	A microbial community category for communities defined primarily by syntrophic metabolic cooperation between members (e.g., interspecies hydrogen transfer in anaerobic digestion).	CommunityMech:communitymech.yaml#CommunityCategoryEnum.SYNTROPHY	METPO:1007205	syntrophic community		metpo_communitymech_2026_05	HIGH		CommunityCategoryEnum.SYNTROPHY
METPO:1007220	other community category	A microbial community category for communities that do not fit any of the predefined functional or environmental groupings.	CommunityMech:communitymech.yaml#CommunityCategoryEnum.OTHER	METPO:1007200	uncategorized community		metpo_communitymech_2026_05	MEDIUM		CommunityCategoryEnum.OTHER
METPO:1007300	community-relevant growth medium	A growth medium or environmentally-related medium associated with a microbial community, either used for cultivation of community members or designated by curators as analogous to the community's environment. Top-level domain class lifting CommunityMech GrowthMedia and RelatedMedia.	CommunityMech:communitymech.yaml#GrowthMedia	METPO:1000000	growth medium|culture medium|community medium		metpo_communitymech_2026_05	HIGH		top-level domain class for v1.1 extension
METPO:1007301	atmosphere requirement	The atmospheric or oxygen requirement of a growth medium, distinguishing aerobic, anaerobic, microaerobic, facultative, and specialized (e.g., CO2-requiring) cultivation conditions.	CommunityMech:communitymech.yaml#AtmosphereEnum	METPO:1007300	atmosphere category|oxygen requirement category		metpo_communitymech_2026_05	HIGH		enum-parent for AtmosphereEnum
METPO:1007302	aerobic atmosphere requirement	An atmosphere-requirement value indicating that the medium requires oxygen for growth.	CommunityMech:communitymech.yaml#AtmosphereEnum.AEROBIC	METPO:1007301	obligate aerobic atmosphere|oxygen-required atmosphere		metpo_communitymech_2026_05	HIGH		AtmosphereEnum.AEROBIC
METPO:1007303	anaerobic atmosphere requirement	An atmosphere-requirement value indicating that the medium supports growth only in the absence of oxygen (strict anaerobe).	CommunityMech:communitymech.yaml#AtmosphereEnum.ANAEROBIC	METPO:1007301	strict anaerobic atmosphere|obligate anaerobic atmosphere		metpo_communitymech_2026_05	HIGH		AtmosphereEnum.ANAEROBIC
METPO:1007304	microaerobic atmosphere requirement	An atmosphere-requirement value indicating that the medium requires low oxygen levels (typically 2-10%).	CommunityMech:communitymech.yaml#AtmosphereEnum.MICROAEROBIC	METPO:1007301	microaerophilic atmosphere|low-oxygen atmosphere		metpo_communitymech_2026_05	HIGH		AtmosphereEnum.MICROAEROBIC
METPO:1007305	facultative anaerobic atmosphere requirement	An atmosphere-requirement value indicating that the medium supports growth with or without oxygen, with no preference required.	CommunityMech:communitymech.yaml#AtmosphereEnum.FACULTATIVE_ANAEROBIC	METPO:1007301	facultatively anaerobic atmosphere		metpo_communitymech_2026_05	HIGH		AtmosphereEnum.FACULTATIVE_ANAEROBIC
METPO:1007306	facultative aerobic atmosphere requirement	An atmosphere-requirement value indicating that the medium is preferentially aerobic but supports growth anaerobically as well.	CommunityMech:communitymech.yaml#AtmosphereEnum.FACULTATIVE_AEROBIC	METPO:1007301	facultatively aerobic atmosphere		metpo_communitymech_2026_05	HIGH		AtmosphereEnum.FACULTATIVE_AEROBIC
METPO:1007307	capnophilic atmosphere requirement	An atmosphere-requirement value indicating that the medium requires elevated CO2 levels.	CommunityMech:communitymech.yaml#AtmosphereEnum.CAPNOPHILIC	METPO:1007301	CO2-requiring atmosphere|elevated-CO2 atmosphere		metpo_communitymech_2026_05	HIGH		AtmosphereEnum.CAPNOPHILIC
METPO:1007310	growth media relationship type	The type of relationship between a microbial community and a growth medium, distinguishing actual cultivation media from environmentally analogous or study-referenced media.	CommunityMech:communitymech.yaml#MediaRelationshipEnum	METPO:1007300	medium relationship category		metpo_communitymech_2026_05	HIGH		enum-parent for MediaRelationshipEnum
METPO:1007311	cultivation medium relationship	A growth-media-relationship value indicating that the medium was actually used for cultivation of community members.	CommunityMech:communitymech.yaml#MediaRelationshipEnum.CULTIVATION_MEDIUM	METPO:1007310	cultivation medium|primary cultivation medium		metpo_communitymech_2026_05	HIGH		MediaRelationshipEnum.CULTIVATION_MEDIUM
METPO:1007312	isolation medium relationship	A growth-media-relationship value indicating that the medium was used for initial isolation of community members from the environment.	CommunityMech:communitymech.yaml#MediaRelationshipEnum.ISOLATION_MEDIUM	METPO:1007310	isolation medium		metpo_communitymech_2026_05	HIGH		MediaRelationshipEnum.ISOLATION_MEDIUM
